id,year,ID,state,state name,oil vol (bbl),gas vol (tcf),price oil (pb),price gas (pkcf),un prov res,sqmiles,avg pi,res per pi,increase,res per sq m,Population (000),pi,non min pi (thousands),min earn (thousands),res rev,non res rev,inc tax rev,tot exp,exp per pop,tot edu exp,savings,resrevpi,nonresrevpi,inc tax pi,totexppi,edu exp pi,savings pi,resrevpi2,nonresrevpi2,inc tax rev pi 2,tot exp pi 2,tot edu exp pi 2,savings pi 2
AK1957,1957,2-Feb,2,AK,#N/A,#N/A,#N/A,#N/A,#N/A,581369.17,9776,#N/A,0,#N/A,231,539,#N/A,#N/A,"2,926.00","35,726.00","8,131.00","37,665.00",163.05,"15,401.00",987,0.0054,0.0663,0.0151,0.0699,0.0286,0.0018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AL1957,1957,2-Jan,1,AL,0.238838267,29.12893078,#N/A,#N/A,#N/A,51649.05,51730,#N/A,0,#N/A,"3,109.00",4403,#N/A,#N/A,"6,204.00","429,024.00","31,494.00","440,733.00",141.76,"129,717.00","-5,505.00",0.0014,0.0974,0.0072,0.1001,0.0295,-0.0013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AR1957,1957,2-Apr,4,AR,0.206604485,39.71688484,#N/A,#N/A,#N/A,53178.77,29190,#N/A,0,#N/A,"1,733.00",2150,#N/A,#N/A,"8,232.00","188,459.00","15,190.00","191,667.00",110.6,"53,355.00","5,024.00",0.0038,0.0877,0.0071,0.0891,0.0248,0.0023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AZ1957,1957,2-Mar,3,AZ,0.095178147,0.35512544,#N/A,#N/A,#N/A,113997.77,58999,#N/A,0,#N/A,"1,125.00",2127,#N/A,#N/A,"3,305.00","184,456.00","15,061.00","181,708.00",161.52,"51,440.00","6,053.00",0.0016,0.0867,0.0071,0.0854,0.0242,0.0028,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CA1957,1957,2-May,5,CA,2.535059622,6.305284246,#N/A,#N/A,#N/A,158144.83,512203,#N/A,0,#N/A,"14,264.00",36788,#N/A,#N/A,"84,764.00","2,789,101.00","310,678.00","2,617,863.00",183.53,"855,013.00","256,002.00",0.0023,0.0758,0.0084,0.0712,0.0232,0.007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CO1957,1957,2-Jun,6,CO,0.430213233,47.48585388,#N/A,#N/A,#N/A,104093.95,61663,#N/A,0,#N/A,"1,664.00",3497,#N/A,#N/A,"13,191.00","255,539.00","27,587.00","269,421.00",161.91,"68,559.00",-691,0.0038,0.0731,0.0079,0.077,0.0196,-0.0002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CT1957,1957,2-Jul,7,CT,0,0.000664595,#N/A,#N/A,#N/A,4962.77,66947,#N/A,0,#N/A,"2,359.00",6619,#N/A,#N/A,"7,115.00","322,884.00","29,765.00","444,850.00",188.58,"58,415.00","-114,851.00",0.0011,0.0488,0.0045,0.0672,0.0088,-0.0174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DE1957,1957,2-Aug,8,DE,0,0,#N/A,#N/A,#N/A,1975.78,11589,#N/A,0,#N/A,426,1123,#N/A,#N/A,"1,703.00","73,034.00","14,471.00","90,593.00",212.66,"36,020.00","-15,856.00",0.0015,0.065,0.0129,0.0807,0.0321,-0.0141,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FL1957,1957,2-Oct,10,FL,0.361773636,8.548886872,#N/A,#N/A,#N/A,56695.03,210394,#N/A,0,#N/A,"4,372.00",8013,#N/A,#N/A,"6,800.00","524,755.00",0,"540,973.00",123.74,"164,205.00","-9,418.00",0.0008,0.0655,0,0.0675,0.0205,-0.0012,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GA1957,1957,2-Nov,11,GA,0.000915037,2.240841564,#N/A,#N/A,#N/A,58808.69,101118,#N/A,0,#N/A,"3,766.00",5720,#N/A,#N/A,"8,774.00","468,725.00","47,835.00","464,364.00",123.3,"181,189.00","13,135.00",0.0015,0.0819,0.0084,0.0812,0.0317,0.0023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HI1957,1957,2-Dec,12,HI,#N/A,#N/A,#N/A,#N/A,#N/A,6429.38,17927,#N/A,0,#N/A,584,1107,#N/A,#N/A,"4,797.00","118,567.00","19,497.00","133,097.00",227.91,"41,767.00","-9,733.00",0.0043,0.1071,0.0176,0.1202,0.0377,-0.0088,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IA1957,1957,16-2,16,IA,0.003706627,0.096372294,#N/A,#N/A,#N/A,56272.82,39972,#N/A,0,#N/A,"2,716.00",5278,#N/A,#N/A,"3,829.00","410,612.00","32,534.00","399,474.00",147.08,"91,411.00","14,967.00",0.0007,0.0778,0.0062,0.0757,0.0173,0.0028,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ID1957,1957,13-2,13,ID,0.11606146,0.368373484,#N/A,#N/A,#N/A,83570.14,14712,#N/A,0,#N/A,642,1142,#N/A,#N/A,"4,017.00","99,742.00","14,217.00","99,310.00",154.69,"20,099.00","4,449.00",0.0035,0.0873,0.0124,0.087,0.0176,0.0039,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IL1957,1957,14-2,14,IL,0.108799921,2.409141115,#N/A,#N/A,#N/A,56341.77,195356,#N/A,0,#N/A,"9,668.00",24362,#N/A,#N/A,"16,879.00","1,022,416.00",0,"970,146.00",100.35,"220,663.00","69,149.00",0.0007,0.042,0,0.0398,0.0091,0.0028,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IN1957,1957,15-2,15,IN,0.078307949,1.157872406,#N/A,#N/A,#N/A,36183.72,79904,#N/A,0,#N/A,"4,529.00",9198,#N/A,#N/A,"6,787.00","462,094.00",0,"537,792.00",118.74,"188,663.00","-68,911.00",0.0007,0.0502,0,0.0585,0.0205,-0.0075,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KS1957,1957,17-2,17,KS,0.426503298,11.18250528,#N/A,#N/A,#N/A,82277.97,37067,#N/A,0,#N/A,"2,128.00",4065,#N/A,#N/A,"5,327.00","253,928.00","17,871.00","320,774.00",150.74,"73,076.00","-61,519.00",0.0013,0.0625,0.0044,0.0789,0.018,-0.0151,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KY1957,1957,18-2,18,KY,0.030251886,4.769580232,#N/A,#N/A,#N/A,40409.65,47041,#N/A,0,#N/A,"2,928.00",4344,#N/A,#N/A,"4,179.00","314,046.00","62,816.00","313,756.00",107.16,"84,193.00","4,469.00",0.001,0.0723,0.0145,0.0722,0.0194,0.001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LA1957,1957,19-2,19,LA,0.459191611,40.80654176,#N/A,#N/A,#N/A,46776.06,53553,#N/A,1,#N/A,"3,115.00",5021,#N/A,#N/A,"177,016.00","468,253.00","29,284.00","643,975.00",206.73,"194,699.00","1,294.00",0.0353,0.0933,0.0058,0.1283,0.0388,0.0003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MA1957,1957,22-2,22,MA,0,0.000665715,#N/A,#N/A,#N/A,8103.95,110865,#N/A,0,#N/A,"4,929.00",11306,#N/A,#N/A,"5,590.00","637,808.00","141,671.00","802,394.00",162.79,"74,895.00","-158,996.00",0.0005,0.0564,0.0125,0.071,0.0066,-0.0141,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MD1957,1957,21-2,21,MD,0.000418835,0.72493373,#N/A,#N/A,#N/A,9899.54,87156,#N/A,0,#N/A,"2,873.00",6499,#N/A,#N/A,"6,873.00","358,776.00","70,812.00","401,859.00",139.87,"81,487.00","-36,210.00",0.0011,0.0552,0.0109,0.0618,0.0125,-0.0056,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ME1957,1957,20-2,20,ME,#N/A,#N/A,#N/A,#N/A,#N/A,32489.12,16347,#N/A,0,#N/A,943,1616,#N/A,#N/A,"2,333.00","142,737.00",0,"139,032.00",147.44,"19,638.00","6,038.00",0.0014,0.0883,0,0.086,0.0122,0.0037,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MI1957,1957,23-2,23,MI,0.415027316,4.785279721,#N/A,#N/A,#N/A,58128.82,140139,#N/A,0,#N/A,"7,569.00",17511,#N/A,#N/A,"15,718.00","1,330,168.00",0,"1,486,699.00",196.42,"470,175.00","-140,813.00",0.0009,0.076,0,0.0849,0.0269,-0.008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MN1957,1957,24-2,24,MN,0.028953992,0.243213532,#N/A,#N/A,#N/A,84376.21,73190,#N/A,1,#N/A,"3,274.00",6291,#N/A,#N/A,"49,666.00","423,176.00","86,151.00","445,635.00",136.11,"155,919.00","27,207.00",0.0079,0.0673,0.0137,0.0708,0.0248,0.0043,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MO1957,1957,26-2,26,MO,0.024463253,0.611396924,#N/A,#N/A,#N/A,69702.89,74990,#N/A,0,#N/A,"4,189.00",8147,#N/A,#N/A,"3,642.00","446,485.00","37,566.00","440,739.00",105.21,"109,699.00","9,388.00",0.0004,0.0548,0.0046,0.0541,0.0135,0.0012,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MS1957,1957,25-2,25,MS,0.33496284,33.90408534,#N/A,#N/A,#N/A,47675.31,29216,#N/A,0,#N/A,"2,088.00",2204,#N/A,#N/A,"13,964.00","235,684.00","19,902.00","237,140.00",113.57,"75,806.00","12,508.00",0.0063,0.1069,0.009,0.1076,0.0344,0.0057,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MT1957,1957,27-2,27,MT,2.442936563,22.42950468,#N/A,#N/A,#N/A,147042.71,10814,#N/A,1,#N/A,667,1323,#N/A,#N/A,"10,720.00","122,414.00","9,910.00","128,282.00",192.33,"27,207.00","4,852.00",0.0081,0.0925,0.0075,0.097,0.0206,0.0037,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NC1957,1957,34-2,34,NC,0,1.292201516,#N/A,#N/A,#N/A,49339.57,99087,#N/A,0,#N/A,"4,368.00",6193,#N/A,#N/A,"10,089.00","567,983.00","98,455.00","533,001.00",122.02,"207,690.00","45,071.00",0.0016,0.0917,0.0159,0.0861,0.0335,0.0073,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ND1957,1957,35-2,35,ND,3.881533345,4.392934312,#N/A,#N/A,#N/A,70700.02,8471,#N/A,1,#N/A,612,1001,#N/A,#N/A,"7,737.00","101,887.00","4,618.00","107,801.00",176.15,"24,380.00","1,823.00",0.0077,0.1018,0.0046,0.1077,0.0244,0.0018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NE1957,1957,28-2,28,NE,0.160779746,0.931552758,#N/A,#N/A,#N/A,77353.01,23772,#N/A,0,#N/A,"1,394.00",2721,#N/A,#N/A,"5,791.00","131,452.00",0,"141,048.00",101.18,"30,065.00","-3,805.00",0.0021,0.0483,0,0.0518,0.011,-0.0014,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
